,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chui,-33.6971,-53.4616,52.79,71,0,7.83,UY,1650767853
1,Mataura,-46.1927,168.8643,52.48,90,97,8.99,NZ,1650767854
2,Sakaiminato,35.55,133.2333,71.58,64,75,6.91,JP,1650767854
3,Puerto Ayora,-0.7393,-90.3518,71.92,91,70,5.97,EC,1650767854
4,Ahipara,-35.1667,173.1667,64.96,67,99,14.9,NZ,1650767855
5,Saskylakh,71.9167,114.0833,8.98,88,17,4.56,RU,1650767855
6,Vaini,-21.2,-175.2,82.56,69,40,9.22,TO,1650767856
7,Cape Town,-33.9258,18.4232,58.91,71,0,8.05,ZA,1650767584
8,Rikitea,-23.1203,-134.9692,75.18,79,100,16.15,PF,1650767636
9,Arraial do Cabo,-22.9661,-42.0278,77.99,81,2,12.19,BR,1650767857
10,Clearwater,27.9659,-82.8001,75.9,62,0,14.0,US,1650767814
11,Vila Franca do Campo,37.7167,-25.4333,55.81,74,22,13.06,PT,1650767857
12,Buloh Kasap,2.5536,102.764,87.39,69,76,3.09,MY,1650767858
13,Yellowknife,62.456,-114.3525,32.52,59,0,11.5,CA,1650767858
14,Shimoda,34.6667,138.95,64.76,95,100,11.72,JP,1650767859
15,Jamestown,42.097,-79.2353,71.24,54,0,4.61,US,1650767859
16,Punta Arenas,-53.15,-70.9167,42.91,93,100,4.61,CL,1650767859
17,Busselton,-33.65,115.3333,71.73,45,38,9.19,AU,1650767860
18,Neulengbach,48.1974,15.9022,53.06,91,79,11.01,AT,1650767860
19,Port Alfred,-33.5906,26.891,59.18,96,23,1.01,ZA,1650767861
20,Wangqing,43.3218,129.7634,65.37,22,4,14.94,CN,1650767861
21,Albany,42.6001,-73.9662,47.84,60,100,2.01,US,1650767818
22,Hong Kong,22.2855,114.1577,87.85,89,47,1.01,HK,1650767862
23,Kapaa,22.0752,-159.319,80.58,82,75,16.11,US,1650767862
24,Fortuna,40.5982,-124.1573,53.65,84,4,1.01,US,1650767863
25,Atambua,-9.1061,124.8925,85.05,50,78,0.69,ID,1650767863
26,Souillac,-20.5167,57.5167,75.58,69,40,14.97,MU,1650767863
27,Taoudenni,22.6783,-3.9836,74.21,18,8,9.04,ML,1650767864
28,Tasiilaq,65.6145,-37.6368,35.76,88,92,7.85,GL,1650767864
29,Olafsvik,64.8945,-23.7142,45.03,83,99,6.4,IS,1650767865
30,Turukhansk,65.8167,87.9833,15.6,86,94,7.09,RU,1650767865
31,Coyhaique,-45.5752,-72.0662,41.61,93,100,2.3,CL,1650767866
32,Saint-Philippe,-21.3585,55.7679,74.79,79,72,11.7,RE,1650767866
33,Cabo San Lucas,22.8909,-109.9124,73.71,73,0,6.91,MX,1650767715
34,Leningradskiy,69.3833,178.4167,26.11,88,100,3.89,RU,1650767867
35,Bluff,-46.6,168.3333,52.81,63,92,24.2,NZ,1650767867
36,Salalah,17.0151,54.0924,80.78,79,30,5.84,OM,1650767808
37,Port Lincoln,-34.7333,135.8667,67.86,72,98,17.6,AU,1650767777
38,Klyuchi,52.2667,79.1667,29.17,40,0,9.44,RU,1650767868
39,Cidreira,-30.1811,-50.2056,58.41,73,0,6.69,BR,1650767868
40,Storforshei,66.4043,14.5233,34.66,93,75,0.0,NO,1650767869
41,Qaanaaq,77.484,-69.3632,-4.79,77,29,6.78,GL,1650767869
42,Tuatapere,-46.1333,167.6833,50.54,76,100,12.84,NZ,1650767870
43,Butaritari,3.0707,172.7902,81.43,78,60,12.62,KI,1650767870
44,Waddān,29.1614,16.139,59.45,45,0,0.94,LY,1650767871
45,Ushuaia,-54.8,-68.3,40.66,81,40,13.8,AR,1650767634
46,Mudanjiang,44.5833,129.6,57.63,32,12,19.06,CN,1650767871
47,Kiryat Gat,31.61,34.7642,70.39,100,66,4.94,IL,1650767872
48,Faya,18.3851,42.4509,59.11,42,18,3.33,SA,1650767872
49,Esperance,-33.8667,121.9,67.84,58,9,6.04,AU,1650767873
50,Barrow,71.2906,-156.7887,17.62,79,100,5.75,US,1650767873
51,São Filipe,14.8961,-24.4956,73.63,76,0,7.96,CV,1650767874
52,Upernavik,72.7868,-56.1549,-1.61,97,61,6.8,GL,1650767874
53,Atuona,-9.8,-139.0333,79.45,77,60,16.69,PF,1650767875
54,Kyra,49.5776,111.9753,42.13,23,34,13.73,RU,1650767875
